timestamp,track_id,class_name,x,y
0.0,1,worker,0.15625,0.69444
0.0,2,forklift,0.81172,0.49722
0.033,1,worker,0.15816,0.69355
0.033,2,forklift,0.81003,0.49771
0.067,1,worker,0.16065,0.6924
0.067,2,forklift,0.80784,0.49834
0.1,1,worker,0.16331,0.69116
0.1,2,forklift,0.8055,0.49902
0.133,1,worker,0.16603,0.68989
0.133,2,forklift,0.80311,0.4997
0.167,1,worker,0.16875,0.68863
0.167,2,forklift,0.8007,0.5004
0.2,1,worker,0.17149,0.68735
0.2,2,forklift,0.7983,0.50109
0.233,1,worker,0.17422,0.68607
0.233,2,forklift,0.79589,0.50179
0.267,1,worker,0.17695,0.68481
0.267,2,forklift,0.79348,0.50248
0.3,1,worker,0.17969,0.68353
0.3,2,forklift,0.79107,0.50317
0.333,1,worker,0.18242,0.68226
0.333,2,forklift,0.78866,0.50387
0.367,1,worker,0.18516,0.68099
0.367,2,forklift,0.78625,0.50456
0.4,1,worker,0.18789,0.67971
0.4,2,forklift,0.78384,0.50526
0.433,1,worker,0.19063,0.67844
0.433,2,forklift,0.78144,0.50595
0.467,1,worker,0.19336,0.67717
0.467,2,forklift,0.77903,0.50665
0.5,1,worker,0.19609,0.67589
0.5,2,forklift,0.77662,0.50734
0.533,1,worker,0.19883,0.67462
0.533,2,forklift,0.77421,0.50804
0.567,1,worker,0.20156,0.67335
0.567,2,forklift,0.7718,0.50873
0.6,1,worker,0.2043,0.67207
0.6,2,forklift,0.76939,0.50942
0.633,1,worker,0.20703,0.6708
0.633,2,forklift,0.76698,0.51012
0.667,1,worker,0.20977,0.66953
0.667,2,forklift,0.76457,0.51081
0.7,1,worker,0.2125,0.66825
0.7,2,forklift,0.76216,0.51151
0.733,1,worker,0.21523,0.66698
0.733,2,forklift,0.75976,0.5122
0.767,1,worker,0.21797,0.66571
0.767,2,forklift,0.75735,0.5129
0.8,1,worker,0.2207,0.66444
0.8,2,forklift,0.75494,0.51359
0.833,1,worker,0.22344,0.66316
0.833,2,forklift,0.75253,0.51429
0.867,1,worker,0.22617,0.66189
0.867,2,forklift,0.75012,0.51498
0.9,1,worker,0.22891,0.66062
0.9,2,forklift,0.74771,0.51567
0.933,1,worker,0.23164,0.65934
0.933,2,forklift,0.7453,0.51637
0.967,1,worker,0.23438,0.65807
0.967,2,forklift,0.74289,0.51706
1.0,1,worker,0.23711,0.6568
1.0,2,forklift,0.74049,0.51776
1.033,1,worker,0.23984,0.65552
1.033,2,forklift,0.73808,0.51845
1.067,1,worker,0.24258,0.65425
1.067,2,forklift,0.73567,0.51915
1.1,1,worker,0.24531,0.65298
1.1,2,forklift,0.73326,0.51984
1.133,1,worker,0.24805,0.6517
1.133,2,forklift,0.73085,0.52054
1.167,1,worker,0.25078,0.65043
1.167,2,forklift,0.72844,0.52123
1.2,1,worker,0.25352,0.64916
1.2,2,forklift,0.72603,0.52192
1.233,1,worker,0.25625,0.64788
1.233,2,forklift,0.72363,0.52262
1.267,1,worker,0.25898,0.64661
1.267,2,forklift,0.72121,0.52331
1.3,1,worker,0.26172,0.64534
1.3,2,forklift,0.71881,0.52401
1.333,1,worker,0.26445,0.64406
1.333,2,forklift,0.7164,0.5247
1.367,1,worker,0.26719,0.64279
1.367,2,forklift,0.71399,0.5254
1.4,1,worker,0.26992,0.64152
1.4,2,forklift,0.71158,0.52609
1.433,1,worker,0.27266,0.64024
1.433,2,forklift,0.70917,0.52679
1.467,1,worker,0.27539,0.63897
1.467,2,forklift,0.70676,0.52748
1.5,1,worker,0.27813,0.6377
1.5,2,forklift,0.70435,0.52817
1.533,1,worker,0.28086,0.63642
1.533,2,forklift,0.70195,0.52887
1.567,1,worker,0.28359,0.63515
1.567,2,forklift,0.69953,0.52956
1.6,1,worker,0.28633,0.63388
1.6,2,forklift,0.69713,0.53026
1.633,1,worker,0.28906,0.6326
1.633,2,forklift,0.69472,0.53095
1.667,1,worker,0.2918,0.63134
1.667,2,forklift,0.69231,0.53165
1.7,1,worker,0.29453,0.63006
1.7,2,forklift,0.6899,0.53234
1.733,1,worker,0.29727,0.62878
1.733,2,forklift,0.68749,0.53304
1.767,1,worker,0.3,0.62752
1.767,2,forklift,0.68508,0.53373
1.8,1,worker,0.30273,0.62624
1.8,2,forklift,0.68267,0.53442
1.833,1,worker,0.30547,0.62496
1.833,2,forklift,0.68027,0.53512
1.867,1,worker,0.3082,0.6237
1.867,2,forklift,0.67785,0.53581
1.9,1,worker,0.31094,0.62242
1.9,2,forklift,0.67545,0.53651
1.933,1,worker,0.31367,0.62114
1.933,2,forklift,0.67304,0.5372
1.967,1,worker,0.31641,0.61988
1.967,2,forklift,0.67063,0.5379
2.0,1,worker,0.31914,0.6186
2.0,2,forklift,0.66822,0.53859
2.033,1,worker,0.32188,0.61733
2.033,2,forklift,0.66581,0.53929
2.067,1,worker,0.32461,0.61606
2.067,2,forklift,0.6634,0.53998
2.1,1,worker,0.32734,0.61478
2.1,2,forklift,0.66099,0.54067
2.133,1,worker,0.33008,0.61351
2.133,2,forklift,0.65859,0.54137
2.167,1,worker,0.33281,0.61224
2.167,2,forklift,0.65617,0.54206
2.2,1,worker,0.33555,0.61096
